Size(Bytes),ThreadsPerBlock,Blocks,Stride,Bandwidth(GB/s)
262144,1024,2,8,0.79GB/s
262144,1024,2,16,0.78GB/s
262144,1024,2,32,0.79GB/s
262144,1024,4,1,1.63GB/s
262144,1024,4,2,1.63GB/s
262144,1024,4,4,1.47GB/s
262144,1024,4,8,1.50GB/s
262144,1024,4,16,1.47GB/s
262144,1024,4,32,1.34GB/s
262144,1024,8,1,2.66GB/s
262144,1024,8,2,3.36GB/s
262144,1024,8,4,3.42GB/s
262144,1024,8,8,3.14GB/s
262144,1024,8,16,3.16GB/s
262144,1024,8,32,3.13GB/s
262144,1024,16,1,6.53GB/s
262144,1024,16,2,6.38GB/s
262144,1024,16,4,6.47GB/s
262144,1024,16,8,6.39GB/s
262144,1024,16,16,6.57GB/s
262144,1024,16,32,6.56GB/s
262144,1024,32,1,11.54GB/s
262144,1024,32,2,12.22GB/s
262144,1024,32,4,11.96GB/s
262144,1024,32,8,12.12GB/s
262144,1024,32,16,11.87GB/s
262144,1024,32,32,12.06GB/s
1048576,1024,1,1,0.39GB/s
1048576,1024,1,2,0.38GB/s
1048576,1024,1,4,0.39GB/s
1048576,1024,1,8,0.30GB/s
1048576,1024,1,16,0.39GB/s
1048576,1024,1,32,0.41GB/s
1048576,1024,2,1,0.82GB/s
1048576,1024,2,2,0.76GB/s
1048576,1024,2,4,0.80GB/s
1048576,1024,2,8,0.81GB/s
1048576,1024,2,16,0.76GB/s
1048576,1024,2,32,0.79GB/s
1048576,1024,4,1,1.62GB/s
1048576,1024,4,2,1.54GB/s
1048576,1024,4,4,1.58GB/s
1048576,1024,4,8,1.54GB/s
1048576,1024,4,16,1.59GB/s
1048576,1024,4,32,1.56GB/s
1048576,1024,8,1,3.07GB/s
1048576,1024,8,2,3.00GB/s
1048576,1024,8,4,3.29GB/s
1048576,1024,8,8,3.12GB/s
1048576,1024,8,16,3.04GB/s
1048576,1024,8,32,3.29GB/s
1048576,1024,16,1,6.92GB/s
1048576,1024,16,2,6.54GB/s
1048576,1024,16,4,6.40GB/s
1048576,1024,16,8,4.87GB/s
1048576,1024,16,16,5.28GB/s
1048576,1024,16,32,6.60GB/s
1048576,1024,32,1,13.47GB/s
1048576,1024,32,2,12.83GB/s
1048576,1024,32,4,12.72GB/s
1048576,1024,32,8,12.28GB/s
1048576,1024,32,16,12.50GB/s
1048576,1024,32,32,12.61GB/s
4194304,1024,1,1,0.19GB/s
4194304,1024,1,2,0.18GB/s
4194304,1024,1,4,0.19GB/s
4194304,1024,1,8,0.19GB/s
4194304,1024,1,16,0.17GB/s
4194304,1024,1,32,0.18GB/s
4194304,1024,2,1,0.39GB/s
4194304,1024,2,2,0.40GB/s
4194304,1024,2,4,0.34GB/s
4194304,1024,2,8,0.35GB/s
4194304,1024,2,16,0.31GB/s
4194304,1024,2,32,0.38GB/s
4194304,1024,4,1,0.69GB/s
4194304,1024,4,2,0.60GB/s
4194304,1024,4,4,0.68GB/s
4194304,1024,4,8,0.74GB/s
4194304,1024,4,16,0.74GB/s
4194304,1024,4,32,0.64GB/s
4194304,1024,8,1,1.33GB/s
4194304,1024,8,2,1.29GB/s
4194304,1024,8,4,1.34GB/s
4194304,1024,8,8,1.31GB/s
4194304,1024,8,16,1.54GB/s
4194304,1024,8,32,1.37GB/s
4194304,1024,16,1,2.83GB/s
4194304,1024,16,2,3.07GB/s
4194304,1024,16,4,2.60GB/s
4194304,1024,16,8,2.89GB/s
4194304,1024,16,16,2.63GB/s
4194304,1024,16,32,2.64GB/s
4194304,1024,32,1,5.31GB/s
4194304,1024,32,2,5.36GB/s
4194304,1024,32,4,5.29GB/s
4194304,1024,32,8,5.51GB/s
4194304,1024,32,16,5.33GB/s
4194304,1024,32,32,5.41GB/s
16777216,1024,1,1,0.17GB/s
16777216,1024,1,2,0.16GB/s
16777216,1024,1,4,0.17GB/s
16777216,1024,1,8,0.18GB/s
16777216,1024,1,16,0.19GB/s
16777216,1024,1,32,0.16GB/s
16777216,1024,2,1,0.34GB/s
16777216,1024,2,2,0.34GB/s
16777216,1024,2,4,0.42GB/s
16777216,1024,2,8,0.34GB/s
16777216,1024,2,16,0.33GB/s
16777216,1024,2,32,0.34GB/s
16777216,1024,4,1,0.78GB/s
16777216,1024,4,2,0.65GB/s
16777216,1024,4,4,0.66GB/s
16777216,1024,4,8,0.66GB/s
16777216,1024,4,16,0.60GB/s
